,popularity
157744,41
56933,56
226926,46
135368,23
27426,38
42323,50
49122,41
186121,21
14860,62
96696,52
157825,32
49879,0
105384,7
196448,0
209125,42
114434,73
207960,43
175969,35
199134,42
172383,18
33583,16
66388,41
215793,45
137660,25
198723,47
164126,29
219941,39
7697,40
219649,28
86499,47
53312,24
95096,56
186678,24
109074,73
144285,52
17889,61
33623,23
17668,59
175535,12
117179,58
56565,60
183262,18
139344,62
100942,52
183822,13
137615,26
169563,29
211395,11
100178,51
23308,52
81529,10
25301,33
207581,49
99097,55
122328,48
183603,17
65843,47
92293,48
103183,49
126475,35
23502,49
64593,41
56589,57
48505,36
232037,42
16494,57
47392,43
155872,50
24516,42
101105,55
215944,44
41015,68
112500,75
36268,38
113236,67
144476,46
13695,74
194448,8
184990,36
111361,73
212034,19
103149,53
214626,54
230158,38
202339,27
144311,46
33644,19
152541,67
196653,41
165299,25
198100,48
182393,33
96181,54
135804,37
153409,54
66106,37
229357,46
112096,64
111758,61
186373,50
135672,33
44081,45
51588,32
227317,52
50498,29
6863,49
57935,36
220007,29
28823,31
46360,42
180082,36
29678,34
2259,42
73600,0
59822,54
210463,38
209853,33
11735,54
55909,1
76911,0
106884,3
169323,30
126617,33
155638,53
68531,69
94455,60
78022,62
38204,31
173728,16
12865,45
228804,46
56322,15
172126,18
226821,52
211984,12
17414,53
184809,38
147220,52
151408,64
96511,61
57531,58
18662,55
8399,36
221452,22
139939,54
10623,63
104262,0
184189,30
122496,56
128082,30
161934,45
191467,35
53838,20
177662,44
25026,39
39943,29
44547,46
149304,60
21334,44
226347,59
183403,29
57982,34
176168,41
181253,41
129385,29
89080,52
29365,26
225022,58
33776,30
114337,67
111902,67
50703,32
188307,17
229182,47
40800,65
121851,50
227498,23
20931,54
192007,73
98537,48
181764,62
143929,48
62421,49
1884,56
11997,37
108753,70
107752,8
174371,17
224897,63
114025,70
112476,78
27694,48
192626,55
17090,58
127704,24
26885,29
161350,46
62972,48
224860,62
115092,72
49159,32
186111,33
24105,39
146644,56
54171,0
187580,31
18255,57
15822,60
84640,48
104443,17
89002,54
55703,17
20544,46
126858,37
33937,15
144560,43
132286,35
14244,65
216371,44
164050,29
196912,44
9909,46
205853,31
186422,27
116327,61
132227,34
224998,62
100816,52
44021,59
199296,41
93470,72
190734,33
144688,43
154322,48
187833,20
213184,64
31929,21
137988,19
164748,35
183319,24
59651,53
48596,40
25839,46
110321,65
71137,23
228856,57
110494,70
150862,61
135100,30
43043,51
35556,14
204201,23
140455,51
183870,14
5053,56
120678,53
117349,56
172229,18
84962,40
131219,39
13500,42
167269,35
194328,8
10056,46
56856,55
167951,36
67413,71
102535,46
36184,40
7493,37
215171,47
192408,57
63150,44
3988,40
42079,60
87549,70
45717,62
204434,28
169620,26
174017,15
11487,52
124625,33
160413,38
87799,61
68239,66
117806,57
100308,52
103191,44
157204,36
227351,45
219686,34
157011,38
31318,22
225456,69
223297,62
204697,30
25951,47
2324,42
635,4
29325,36
172060,20
207552,49
48582,40
3730,45
199672,40
214320,52
67012,73
177126,36
88549,56
66174,44
120098,57
61391,52
6284,51
196495,0
123328,48
190670,16
40793,67
87625,73
232141,41
53248,29
205263,22
165221,23
162722,25
137956,35
34612,22
159081,43
38977,29
112194,64
80498,9
139259,64
69929,59
106914,4
31679,27
70619,58
160019,38
99917,51
10482,56
185784,30
6954,38
95759,53
218740,33
206616,21
34340,19
80262,20
41566,56
26670,38
16905,65
143783,51
187662,43
5155,56
38957,23
202994,29
209398,32
128069,28
56548,59
116031,63
91668,54
2328,42
119345,55
133679,30
224776,61
162085,39
82855,10
28378,38
40546,77
226864,44
123161,54
188843,22
215437,47
148367,43
53597,1
204937,30
49389,44
12745,45
184177,10
136802,22
1308,67
56000,5
80397,18
94767,56
95670,56
858,49
46603,48
68149,65
70116,59
77471,65
1847,59
106596,2
47377,41
100495,56
151526,55
53975,63
175766,19
192084,72
104670,27
69039,67
214127,52
61011,49
56893,63
49699,24
195480,0
107518,6
144233,52
184225,18
22309,61
31932,19
50750,30
3583,48
21704,43
62275,48
81066,5
128029,30
58074,32
189558,39
87957,59
165448,35
26099,35
83983,43
173100,18
143829,45
36228,40
7020,40
114023,72
70874,21
28477,35
184616,14
9377,47
71828,26
99010,55
82675,13
27610,40
69221,61
230944,44
196419,5
53047,29
170872,22
169335,26
87191,77
123322,51
217180,33
129743,24
168994,28
17568,67
8268,0
120617,52
131540,37
55266,56
128218,44
194028,8
178269,42
116592,63
163695,28
91845,50
22649,50
204570,32
32091,23
28910,33
178989,39
52528,22
13862,69
146664,56
153055,61
79808,15
206188,24
223806,63
167261,30
203842,26
54662,4
103511,43
131156,51
13638,79
8114,35
50990,37
172762,19
132576,34
184639,12
59378,14
169882,25
151031,66
193862,28
3914,41
13010,43
8013,42
60416,58
184338,16
212935,60
98440,51
14262,69
93896,60
98156,58
219101,26
101676,48
187267,24
182557,32
130077,31
63422,47
160368,52
49143,39
154662,56
48216,34
159284,53
107556,16
222543,66
116789,65
24944,48
14642,0
113171,68
211319,14
25156,35
58364,28
187790,24
179405,34
50981,25
219625,25
28004,43
117731,60
101641,44
184864,34
20190,55
72816,8
181672,31
162930,32
112129,67
131288,45
31057,24
44247,46
10350,48
230101,46
163059,29
50581,30
125783,41
205560,36
139319,60
231510,42
98952,51
108059,79
62711,51
80124,16
98888,51
104041,0
225243,57
154095,58
90211,55
150346,59
23415,45
228621,42
146843,43
31742,19
73253,3
205977,26
130350,34
217750,31
157899,32
60009,49
166195,73
130774,28
90875,47
156790,52
79829,19
136458,22
33527,33
85946,44
208382,45
126494,27
149846,63
95975,56
75136,0
101286,53
173884,14
17939,56
85126,46
52865,21
119867,57
188469,28
111256,77
40648,70
18860,47
136554,23
140730,53
224643,64
117311,59
67325,71
52858,25
227970,46
74403,0
60434,56
8700,35
26722,35
52325,31
141148,54
41888,58
124483,39
138014,20
16349,65
192389,64
45699,61
143315,49
84608,43
95520,57
188287,19
176450,39
40918,61
161306,30
204330,24
228293,48
63379,48
122863,45
148167,43
39519,26
63179,46
199519,32
162387,29
61274,47
153675,58
71402,30
169244,27
194501,10
105882,9
79239,57
192946,60
82842,4
57485,56
175922,12
52657,26
47177,42
136094,37
40183,28
95448,55
79992,8
19647,57
26200,33
21730,41
118451,66
56169,1
111450,68
227675,52
1366,61
34640,33
53858,28
77120,74
94025,64
184474,13
187370,26
209745,34
28894,42
122716,52
75531,1
6655,54
134824,27
73527,0
214688,50
27646,51
178267,37
170474,36
51656,31
15182,69
166182,82
200784,30
73560,0
103222,44
135098,34
123241,0
34261,18
164316,29
32325,25
19008,54
84253,53
59731,52
18444,55
110300,70
124297,0
191602,36
2603,62
6610,59
181131,36
171238,21
62479,46
138936,87
137926,26
232388,35
18875,52
13526,42
133676,30
9001,48
178266,43
216467,43
83907,48
202138,27
103850,48
103817,56
161427,38
146025,53
18664,52
86186,38
225214,58
151809,63
31359,17
77146,75
103920,48
222423,60
25331,45
105647,7
88989,55
65239,41
162230,35
213728,67
113652,68
222394,70
139456,54
63264,42
90727,48
205194,25
212030,11
19078,47
126992,26
7453,36
89091,54
145759,57
146284,51
36845,43
202176,28
192163,65
204026,22
105187,13
18168,56
104702,22
65348,46
153727,51
26999,42
2896,53
25878,34
63519,59
44571,49
54048,66
157613,32
155151,60
92176,49
44858,46
60099,50
138492,24
221759,27
62426,47
180032,35
165050,24
187191,24
222715,61
188637,21
202396,37
226333,63
64360,41
172261,18
89096,50
178993,35
175809,13
193141,57
145507,63
162690,28
27369,36
89597,56
226578,51
78775,60
55765,1
116455,58
11410,44
88984,52
67543,75
125397,40
79608,21
213826,54
134557,30
212154,12
81241,15
70358,56
92534,47
116852,58
95473,55
107775,3
221418,36
135291,27
42820,49
148160,50
5138,51
85554,48
20461,45
181442,28
87246,77
78656,0
158844,51
223951,61
184785,39
71509,25
97137,63
53329,28
217179,34
76279,0
133798,29
65240,46
160600,49
201554,28
81405,7
223881,62
125593,41
216995,33
79671,20
27124,47
197936,44
73767,0
180050,41
111358,67
219124,30
19385,54
100909,55
167140,35
149891,64
53618,24
16621,53
20673,50
36852,26
230904,43
105677,9
227380,56
218105,28
167193,29
173132,18
119187,51
221051,28
13080,38
179139,14
1448,60
209686,42
158623,54
49111,32
49117,30
104452,15
84357,46
18025,56
144011,58
35457,15
57825,36
8558,36
77434,64
210849,31
92480,50
128983,29
44659,47
220895,35
183389,19
46029,58
94259,70
65199,41
158547,51
60494,49
88791,59
197386,34
8699,36
182782,25
224236,63
117941,56
178068,36
123122,54
137,62
51976,34
209091,41
209873,38
110119,72
9697,16
163198,30
229146,46
54974,58
160263,37
218146,26
124245,49
164897,19
150143,59
141965,50
114133,68
146348,46
173020,18
51570,43
160112,38
227174,50
58315,35
107164,14
79303,0
44058,54
39164,39
166815,73
34140,15
58257,29
116795,64
51350,33
33962,17
112471,64
19054,58
194912,5
6321,50
209603,40
76213,0
104274,0
117526,64
128998,31
30583,23
106477,6
158385,48
214428,50
143203,48
112907,63
157968,39
77048,0
221973,68
59505,19
189061,22
65674,38
190155,14
200650,38
149454,61
91326,58
2418,42
218421,30
202005,34
118614,56
23400,38
102642,52
136086,36
102119,50
201265,36
179650,3
181085,30
66394,40
152753,67
50721,40
36254,33
230205,44
79737,15
155542,52
210718,29
40467,26
46708,42
59583,53
9123,80
163408,25
228595,43
134237,27
107044,8
29614,26
55331,16
3215,60
27767,50
25691,39
102013,47
214015,52
80876,15
150354,59
227221,55
55100,66
46247,55
137804,25
27194,46
97117,58
212049,12
87307,77
155153,52
11384,43
208368,46
191403,28
58923,26
219388,43
3615,40
191706,14
38804,31
116582,60
172028,19
165688,21
209190,40
7075,39
33343,35
158663,52
185954,28
184636,15
51287,26
6244,54
138799,26
114967,61
173121,17
37208,29
104271,0
191052,14
81731,7
6400,50
107849,87
146170,57
144644,47
174453,14
160144,35
40774,61
84946,46
59082,20
138476,28
176094,45
211815,10
171624,22
78716,63
176768,50
107194,4
227063,49
55741,12
47225,44
136782,21
181556,43
12928,47
88750,55
87547,76
33589,17
75360,3
7291,38
187753,52
215095,51
193318,58
71587,31
143341,48
230731,44
140123,48
120364,52
13484,43
190647,22
69501,59
20412,50
8936,45
165462,21
172459,19
153672,57
136222,14
27077,39
64127,48
122806,46
93232,64
20821,46
158048,36
225098,60
6576,50
78056,64
34626,23
41832,65
202549,30
88026,59
95889,64
33794,16
171258,23
227407,45
17722,58
73828,0
64286,44
95282,58
94514,58
167281,33
96337,50
215582,61
203109,43
229861,39
156478,52
32332,13
77894,62
37472,25
18751,48
122779,53
74454,0
229576,43
1715,59
204515,32
116761,65
17692,57
93469,68
60048,54
185550,46
175680,12
179844,35
89254,50
38231,30
10369,55
126596,38
86389,41
190236,20
154335,54
110654,65
155528,53
18721,61
215148,47
34796,16
88238,55
24413,43
216416,42
105122,51
172755,17
148777,46
76180,0
181220,30
21017,54
154749,59
9432,49
86431,41
31210,22
118156,58
19387,53
226262,55
123898,47
221600,27
140915,49
154209,57
26009,50
47266,36
35733,15
121199,60
161170,37
137414,28
7686,39
89816,51
185612,35
82954,8
158795,47
203209,33
145926,63
49140,31
54975,65
5095,56
10981,45
207463,48
141565,48
127454,39
145618,60
30188,19
141399,53
179719,30
97016,58
173820,16
210779,31
211796,10
180219,36
90777,55
199502,36
25374,37
81824,18
204181,34
8406,41
136104,25
138529,47
218038,28
41567,69
208,70
174877,19
195199,2
54548,1
184087,15
175266,13
201473,31
214269,55
129818,43
140495,49
205805,23
106280,9
43834,56
203946,32
42666,55
170752,23
121841,49
192341,1
125367,37
107543,3
110360,65
78714,70
126914,32
4471,39
51748,27
213753,53
58471,28
191734,23
8453,34
19294,47
156471,47
31907,31
134505,55
124938,36
208353,50
96266,57
189136,17
167536,43
36493,32
73742,0
97112,62
207296,60
55408,0
163368,29
119001,55
3311,52
41822,53
223198,66
150858,61
100612,48
71995,0
152550,69
132313,62
21413,49
219362,33
72254,20
172192,18
200948,28
71986,0
2128,44
180257,30
199686,35
109822,72
39584,28
54805,63
188043,24
35781,14
212378,70
38853,27
89760,53
174898,13
120515,52
224109,62
13441,39
74980,0
10339,47
228965,44
41841,60
138771,41
188882,20
55440,1
61527,44
222539,61
33799,15
42354,55
160703,36
18604,62
220288,29
21974,50
32399,33
5592,53
40301,33
93317,64
162570,31
8223,36
55068,56
228444,43
145070,45
67668,67
88426,58
63320,46
183860,15
231286,45
77502,67
57779,37
94224,63
17847,71
206397,28
51188,31
125902,34
188228,19
219755,28
82093,14
59968,49
109768,71
221628,49
83748,44
162907,43
127204,43
174193,17
107797,7
212402,68
33970,17
53698,20
70911,24
34856,9
49765,31
90049,56
93879,66
62692,47
186919,20
45641,66
187003,28
177125,45
9354,51
44356,52
120380,51
208610,49
151620,62
152727,71
164869,23
48014,41
172769,28
153147,55
200684,30
24680,42
78031,62
24061,48
110947,60
170117,24
197042,36
44607,46
88049,59
45159,26
119584,63
19089,57
171698,19
190998,16
166230,78
36294,44
2218,41
61071,47
221483,26
150330,68
211911,10
138812,27
41693,66
50427,28
124920,43
25075,50
183859,14
10047,43
218644,33
90927,52
146947,49
66399,48
15696,59
227220,55
63976,39
119426,58
122990,45
39507,26
149361,57
7423,37
231352,42
66490,40
42406,58
140330,55
63601,44
102736,42
50397,33
206758,19
195780,1
217001,36
10514,50
12474,59
31214,27
38003,36
77565,66
105129,29
160598,28
100020,49
88431,55
178693,44
109537,74
39703,28
197837,51
223286,63
212995,59
180077,35
102044,54
125635,40
87880,63
113245,65
154181,54
105457,11
19575,57
95187,57
22153,47
117774,64
19252,52
227854,50
129742,3
76002,0
93478,61
194093,10
6735,48
82104,5
42597,57
171311,20
7306,39
3064,56
69299,62
121917,48
73028,2
12284,43
121923,56
95575,55
14437,63
175029,14
223983,57
129888,30
118551,61
229207,51
213957,53
185864,29
118351,58
225163,61
2880,54
230081,49
78930,62
24957,50
191957,68
187949,18
110440,66
149101,61
222395,67
189280,22
30940,25
129456,33
194336,4
15217,66
84648,47
57671,47
145657,54
53865,27
187168,43
93600,65
142474,52
10656,50
132686,41
106947,4
228501,40
10774,44
189568,26
104900,50
98859,50
33433,18
45472,27
69322,59
70346,63
139043,76
229910,41
176785,38
122667,51
179534,37
80627,15
161866,37
111219,69
92542,50
15040,68
38819,39
19951,53
95403,51
69061,62
205914,22
2851,42
48834,41
194379,23
70317,58
133341,44
193180,57
201653,32
217068,39
113357,69
137787,23
152724,64
183228,23
121213,55
80101,9
212087,11
112456,62
104868,57
194432,6
145532,60
55401,0
68031,67
142502,51
111572,66
12077,46
108939,76
94344,64
203326,29
135258,40
148659,44
91893,52
194984,16
87080,81
223465,62
57354,53
73264,2
127118,34
13665,78
194004,10
221921,66
77377,67
103276,52
211771,10
131588,43
70196,60
57028,56
227979,54
232605,40
225499,55
143113,48
57116,58
165523,22
24512,39
29155,28
195359,0
208687,55
96411,57
45456,19
153339,61
112889,64
202086,27
154270,60
222182,67
232200,42
18831,51
191385,20
147931,46
180251,29
200000,40
79250,61
183029,26
202743,34
178541,38
85007,43
161723,39
186415,50
218032,29
69955,61
72048,22
101598,54
7149,38
114019,71
167873,35
152940,62
28970,40
75823,0
159967,50
145159,59
167334,49
182512,32
70862,58
160084,39
142583,51
209947,34
8226,37
136578,51
193574,61
172248,21
4144,39
19667,52
123466,46
218212,39
134537,31
211429,13
118367,54
130236,29
175240,12
231882,43
86790,48
40216,40
158401,45
143824,48
96706,54
199871,35
229086,43
14049,72
16504,61
227535,48
170689,23
169971,26
179159,28
23475,53
183514,19
85542,43
181550,35
171413,22
209043,41
12631,44
4514,38
142524,45
35249,18
136432,29
188497,22
86136,41
156522,57
228007,43
81967,11
72105,16
52662,25
98339,51
217548,37
70579,57
158571,47
182065,41
76164,0
118761,58
199922,36
17494,56
24597,51
216772,46
34392,20
189354,18
191630,32
54433,0
105149,47
102981,47
152968,61
106489,4
180063,26
2629,63
65167,42
143475,68
17145,50
180416,33
231911,42
120265,53
25185,41
72208,18
22934,47
13167,41
181674,49
127100,31
43515,54
212320,74
6717,44
229234,51
207372,59
32019,39
126155,38
43113,57
216877,38
172004,18
220312,27
144358,46
205691,28
168067,33
153603,54
120139,55
31541,18
167250,27
175491,11
72155,16
127807,31
155181,52
17503,57
137429,29
42309,60
228404,52
102273,50
230089,42
230885,49
166704,70
191619,18
95037,57
109128,79
57062,53
153393,55
56847,63
16772,65
182005,39
44072,61
150606,58
48365,36
64100,50
30315,24
176286,36
179793,37
151958,63
7239,39
164464,26
147866,46
138499,36
51505,23
5678,59
226989,51
179912,40
123205,0
14692,68
210970,35
27311,56
20999,47
221910,69
142699,50
28425,51
118574,63
215295,50
191009,20
142671,49
63121,48
127181,33
136940,31
189874,15
59712,53
146612,53
31862,19
104992,53
74517,0
168767,29
41911,53
130553,28
70901,34
161313,34
94262,63
91958,53
90893,52
115909,60
132190,35
29494,23
218460,28
204435,24
142757,50
61246,48
131880,37
183095,24
20136,45
10278,45
34876,18
158059,36
191558,14
20799,41
158578,48
10102,49
86690,51
93003,71
102209,54
25009,36
139664,58
67541,65
216184,42
140179,51
133122,49
41146,61
232681,46
208492,54
21298,61
115216,63
146959,46
18209,54
223667,66
173285,17
202839,28
184735,8
200552,32
21899,43
230160,43
211484,10
83473,45
169285,26
114002,67
176623,37
122893,55
207446,55
83434,47
108588,75
23336,43
178423,47
53910,62
28710,34
172263,20
22657,53
178514,35
135682,32
42558,61
63393,45
134690,30
142973,46
63337,47
137380,37
75205,0
157932,34
230909,38
179872,30
225232,59
10543,46
230021,45
117824,59
197160,38
117087,76
164158,28
40359,45
97259,53
200635,45
231994,50
152581,75
42728,63
9835,50
15004,64
205324,27
178400,31
177174,51
840,41
124166,44
163801,32
41505,57
38714,29
99084,50
41098,61
147670,43
231450,40
77930,65
71203,32
141125,51
196961,34
82133,7
53437,28
176394,39
192482,68
110381,63
122417,62
68470,67
168481,31
226065,54
206961,21
187341,20
141813,52
129830,29
21229,58
50493,31
14108,0
29460,32
153836,53
3399,54
173326,15
2001,41
136170,36
231186,45
193947,13
61449,52
83395,46
107789,7
201635,27
41652,61
76141,0
67740,75
229621,41
109954,70
209372,40
27146,38
220441,25
74895,0
158633,49
164685,18
218054,36
66819,76
189075,17
157255,38
108812,69
173719,17
149593,60
84570,43
116239,60
111910,67
22604,46
25030,46
49160,29
86373,44
133614,41
53212,28
152531,77
210581,35
37762,30
196422,0
65629,40
151932,58
137077,38
139168,70
81569,7
207340,55
134930,38
102023,48
231834,44
142173,55
2781,56
155514,51
96436,58
15823,63
207138,30
108777,72
226846,43
91138,50
184627,10
52896,24
198138,47
154818,52
121977,54
227855,43
156182,51
194654,3
230970,42
77293,73
163378,32
19433,53
168666,30
31632,34
44926,56
4215,39
119438,51
136298,60
190892,21
89864,53
158801,46
198859,42
79236,56
50785,33
25044,36
167340,47
65407,36
208663,44
54346,0
124459,32
433,3
172618,17
37767,38
120417,58
53904,59
45950,55
108073,78
20521,54
220053,25
57009,61
66609,93
3948,41
17931,53
182666,26
32071,22
33045,18
21371,44
161511,38
170817,21
148495,39
133073,52
45940,54
166462,66
159727,42
194862,14
115681,62
148096,45
148274,39
113409,64
78380,62
226430,56
100220,47
21906,51
133361,31
183099,19
116909,59
177297,42
156622,53
154783,52
114990,66
200590,35
131535,38
42284,53
214712,59
202114,34
164148,31
167818,37
229832,42
190137,16
198501,47
211277,12
105008,50
24503,39
91989,50
82710,9
49685,29
210309,39
132157,39
104024,68
110747,64
153781,59
230630,49
193579,54
13919,77
155073,53
15826,57
70223,58
9328,52
150517,66
168895,28
105366,13
59298,10
231087,45
175724,13
132649,38
194485,4
169642,29
59744,60
51418,31
52832,30
171619,22
10020,44
41376,65
114854,65
83535,44
140105,67
229334,48
80443,10
227784,46
136991,46
128502,33
229808,41
144180,57
104213,14
75572,1
213831,54
69117,64
80796,7
127798,33
152176,58
109321,76
13227,41
99756,53
4631,39
48708,32
172994,17
8743,35
211276,28
164964,29
128612,35
11800,39
230432,50
113680,62
139626,59
105170,18
69280,60
61343,58
55426,4
132979,35
10862,50
134806,27
38446,35
160622,45
171033,20
123706,43
590,11
199529,34
38533,28
10363,47
136936,24
148529,42
109699,67
114583,71
18554,50
133357,42
52496,28
85103,50
105908,6
41405,60
85300,42
97277,50
85030,59
80946,14
118280,59
21182,50
134935,31
208791,43
207442,56
69463,60
100854,50
201561,36
176163,39
68176,61
162158,40
70949,26
189319,22
62772,43
219085,36
4124,40
23819,43
25078,42
167886,35
184494,20
196444,1
18960,53
83073,5
84310,47
38476,36
84088,51
39100,30
45527,8
151320,60
24439,45
161364,37
209795,50
36058,34
118879,60
105861,7
153522,55
164113,28
118103,57
20471,53
152944,69
221651,24
6562,59
29826,34
97728,57
125863,35
66520,43
107671,4
46419,49
220601,26
158722,48
118567,62
231167,42
187928,28
92361,45
189570,26
83864,43
30146,32
19954,52
29228,32
204399,31
186020,23
195721,0
152871,73
24668,39
148533,0
77588,62
119026,61
230934,43
162334,30
49465,37
192531,64
80244,19
193058,53
208041,46
220187,30
139742,57
9545,46
197667,55
36918,25
172904,17
165182,24
71486,26
118772,55
139205,62
189314,23
74331,0
183517,32
112861,63
210973,31
80785,12
57440,57
73587,0
47688,44
218888,29
113087,63
17083,48
35321,21
52783,32
33304,21
231124,39
163666,22
73073,8
139754,53
67277,71
179871,42
69785,70
129804,30
88599,57
152673,67
192895,54
219525,25
228002,55
124485,44
100045,52
24223,51
185223,33
148731,38
66860,75
36798,42
35751,14
63819,44
141995,50
95154,55
75411,0
217349,28
32519,19
94267,63
26301,30
25568,55
163460,29
208436,45
196238,2
89935,54
129350,33
89438,52
131962,40
52575,28
129490,36
3115,55
166264,75
61227,47
199689,34
24203,45
62649,46
229450,46
46049,50
88185,55
127149,32
140090,48
66168,40
152880,63
77810,63
106122,5
212111,13
126991,33
115027,62
206577,29
76188,0
33166,25
147549,45
140536,52
136075,44
137204,41
162867,29
163879,27
117587,61
125973,34
19909,55
1297,66
186027,32
85487,51
100313,54
221062,24
79213,69
192925,59
23437,44
205008,26
82611,12
42108,58
189013,50
228272,50
171522,23
25992,43
60452,53
86522,40
12143,53
8460,42
149232,62
158756,44
69457,61
160941,34
194205,12
17824,58
134911,27
127595,30
229430,42
46471,48
206636,23
172256,21
155054,57
127571,35
151910,57
167264,28
20920,52
85489,42
44369,49
175154,14
60301,52
214438,50
19535,48
45933,55
16293,57
90649,49
44264,46
136069,36
8164,32
180920,3
188448,24
90083,53
162862,30
177268,31
206471,29
64330,43
66101,44
127236,36
221075,25
165005,21
82328,12
163711,26
3305,54
198898,44
90593,56
106624,11
30517,25
1095,44
34363,16
117241,61
146090,51
146200,51
305,13
217153,45
51413,35
119783,52
163432,28
33198,18
119361,58
112037,66
190768,13
66612,92
88713,52
30482,26
28692,33
47268,40
44287,55
140680,49
225068,57
68753,75
135604,41
129454,37
221373,34
51481,27
167272,19
148683,44
48909,44
219292,27
26898,34
45467,12
148007,44
58054,31
108288,83
29636,30
212828,61
87208,77
41207,58
204723,27
39780,28
156715,52
91735,51
173941,15
115325,64
223216,62
78833,58
169617,25
121111,54
72569,8
178203,39
156110,54
101942,51
174444,13
116438,64
163071,30
108505,78
142654,44
46533,43
209224,42
65009,37
4265,37
195734,21
100080,67
177859,31
196943,42
190566,21
176287,38
70601,59
166328,72
112923,67
18101,56
27347,43
68931,62
20882,50
83253,43
161343,34
123649,0
108787,70
133486,37
4209,40
64801,41
43773,51
43460,49
80481,7
105624,11
104655,27
62147,46
90866,64
179885,40
189778,20
142245,56
53393,33
71610,22
132567,42
217452,41
26455,44
97018,57
220154,31
100004,55
187012,26
44409,57
205885,28
142967,59
165930,22
23806,55
117857,55
181201,37
40704,74
19554,47
66901,76
63768,53
100777,53
64338,41
76042,0
76242,0
146131,49
101778,48
124044,41
80553,13
219804,31
195475,1
97583,51
106684,5
12295,42
221229,34
179875,31
23904,56
77561,67
200524,37
174526,14
116616,63
67239,70
156770,43
34751,16
154268,51
192230,65
154858,54
53854,21
122664,61
219938,50
228560,44
193051,55
114237,71
85888,40
223498,66
92500,47
88715,58
35460,9
47878,37
67223,69
30333,26
170115,25
154040,57
69616,64
153634,53
1522,61
121911,52
75685,4
79162,63
17727,68
131767,36
65669,40
189015,40
27552,42
114370,71
54531,0
15214,63
140328,52
135594,32
72026,19
41305,58
209503,32
123187,42
97707,57
206172,32
108394,78
63585,43
37256,34
37127,47
68450,64
8189,38
51670,28
4683,39
182760,31
223840,67
59226,13
103220,50
119102,56
105361,15
29761,29
70833,61
192553,64
4983,48
9256,54
60559,56
205905,21
11466,45
18122,51
164295,25
130363,25
25980,36
160356,37
181172,37
42662,55
120910,59
28272,38
120148,58
88952,57
55509,1
204987,32
6558,49
56727,65
115382,65
218169,41
115034,66
20212,52
162242,20
58957,23
221713,37
66541,36
126558,35
173039,17
36158,34
63450,42
18833,56
226266,51
19167,48
63332,43
56927,37
133082,38
120184,52
101627,48
136320,23
194193,10
230611,48
100432,59
32724,30
36529,30
65170,43
148164,44
115053,65
92051,50
45631,72
112919,66
179217,36
213907,52
158968,47
136523,22
197185,46
197640,60
125264,0
174204,13
73030,2
140665,50
19360,44
145547,65
192754,57
125810,35
38004,33
31121,22
6966,44
167792,39
187699,23
149592,60
185125,33
124846,41
231401,36
87990,59
155260,51
37534,45
62390,49
200,70
51624,30
159060,45
69940,62
215718,48
194757,6
121320,55
68584,63
25598,44
90446,52
76785,0
99692,51
135103,44
4818,52
202597,30
29780,26
72776,10
147496,48
142097,50
142144,54
186342,44
50356,33
132166,35
145442,66
53208,22
228057,51
116160,63
15913,57
62141,51
162037,28
